a52dec 0.7.4-8
aalib 1.4rc5-10
abcde 2.7-1
acl 2.2.52-2
acpi 1.7-1
acpid 2.0.23-4
adobe-source-code-pro-fonts 1.017-2
adwaita-icon-theme 3.16.2.1-1
aircrack-ng 1.2rc2-1
airoscript-ng 1.2rc3-7
alsa-lib 1.0.29-1
alsa-utils 1.0.29-1
an 1.2-1
antiword 0.37-5
apr 1.5.2-1
apr-util 1.5.4-1
archlinux-keyring 20150605-1
aspell 0.60.6.1-2
at-spi 1.32.0-6
at-spi2-atk 2.16.0-1
at-spi2-core 2.16.0-1
atk 2.16.0-1
atkmm 2.22.7-1
attr 2.4.47-1
autoconf 2.69-2
autoconf-archive 1:2015.02.24-1
autogen 5.18.4-1
automake 1.15-1
avahi 0.6.31-16
axel 2.4-4
babl 0.1.10-2
banshee 2.6.2-7
bash 4.3.039-1
bc 1.06.95-1
bcg729 1.0.0-8
beanshell2 2.1.8-1
belle-sip 1.4.0-3
binutils 2.25-5
bison 3.0.4-1
bitlbee 3.4-1
bitlbee-facebook-git r46.f55536c-1
bleachbit 1.8-1
bluefish 2.2.7-1
bluez-libs 5.32-1
boost 1.58.0-2
boost-libs 1.58.0-2
brasero 3.12.0-1
brltty 5.2-3
bsd-games 2.17-14
btsync 2.0.128-1
btsync-autoconfig 2.0.0-1
bzip2 1.0.6-5
bzrtp 1.0.1-2
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.19.2-2
ca-certificates-utils 20150402-1
cairo 1.14.2-1
cairomm 1.10.0-3
caja 1.10.1-2
caja-actions 1.7.1-1
caja-extensions-common 1.10.0-1
caja-gksu 1.10.0-1
caja-image-converter 1.10.0-1
caja-open-terminal 1.10.0-1
caja-sendto 1.10.0-1
calibre 2.31.0-1
cclive 0.9.3-6
ccrtp 2.0.9-1
cd-discid 1.4-1
cdparanoia 10.2-5
cdrdao 1.2.3-7
cdrkit 1.1.11-3
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.2-1
charm 1.9.2-1
chmlib 0.40-4
chromaprint 1.1-2
chrpath 0.16-1
cifs-utils 6.4-1
cligh 0.1-2
clucene 2.3.3.4-8
clutter 1.22.4-1
clutter-gst 3.0.6-3
clutter-gtk 1.6.2-1
cmake 3.2.3-1
cogl 1.20.0-1
colord 1.2.9-3
compositeproto 0.4.2-3
corebird-git 3410+g718f7d8-1
coreutils 8.24-1
cracklib 2.9.4-1
crafty 24.1-1
cronie 1.5.0-1
cryptsetup 1.6.7-1
curl 7.43.0-1
customizepkg 0.2.1-3
cython 0.22.1-1
damageproto 1.2.1-3
db 5.3.28-2
dbus 1.8.18-1
dbus-glib 0.104-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dcfldd 1.3.4.1-4
dconf 0.24.0-1
dd_rescue 1.98-1
ddrescue 1.19-1
debtap 2.1.5-1
desktop-file-utils 0.22-1
detox 1.2.0-2
device-mapper 2.02.123-1
dh-make 1.20140617-1
dhcpcd 6.9.0-1
dialog 1:1.2_20150528-1
dict-freedict-eng-fra 0.20,0.18-1
dictd 1.12.1-4
diffh 0.3.2-1
diffutils 3.3-2
djvulibre 3.5.27-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.78.1-1
docx2txt 1.4-1
dotconf 1.3-4
downgrader 1.8.0-2
dpkg 1.17.25-1
dropbox 2.10.52-2
dropbox-cli 2.10.0-4
droppuburl latest-5
dsniff 2.4b1-22
dtrx 7.1-3
dvd+rw-tools 7.1-6
e2fsprogs 1.42.12-2
eclipse 4.4.2-1
ed 1.11-1
elfutils 0.163-1
elinks 0.13-15
enca 1.16-1
enchant 1.6.0-5
espeak 1.48.04-1
espeakup 0.71-8
ethtool 1:4.0-1
evince 3.16.1-1
exempi 2.2.2-1
expac 4-3
expat 2.1.0-4
extundelete 0.2.4-2
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream-0.1 0.1.2-5
fbcmd 1.1-1
fbida 2.09-4
fcgi 2.4.0-10
ffmpeg 1:2.7.1-1
ffmpegthumbnailer 2.0.10-1
fftw 3.3.4-1
file 5.23-2
filesystem 2015.02-1
findutils 4.4.2-6
firefox 39.0-1
fixesproto 5.0-3
flac 1.3.1-1
flashplugin 11.2.202.481-1
flex 2.5.39-1
fluidsynth 1.1.6-4
fluxbox 1.3.7-1
fontconfig 2.11.1-1
fontsproto 2.1.3-1
freetype2 2.6-1
fribidi 0.19.6-2
fuse 2.9.4-1
g15daemon 1.9.5.3-7
galculator-gtk2 2.1.3-3
